epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4498,2.69543,2.33535,1.33638,0.7517,0.86111,0.84836,0.2817,2.34485,3.51932,1.17585,0.000652482,0.000652482,0.000652482
2,23.1288,2.56684,1.82199,1.21818,0.16689,0.57875,0.14144,0.03727,2.77594,5.35777,1.23236,0.00130609,0.00130609,0.00130609
3,33.5931,2.63993,1.93741,1.30334,0,0,0,0,4.6956,10379.5,26.5629,0.0019465,0.0019465,0.0019465
4,44.0156,2.56069,1.82771,1.28143,0.01667,0.27778,0.01095,0.0027,4.11108,122.423,3.55744,0.0019406,0.0019406,0.0019406
5,54.6355,2.4696,1.63297,1.2435,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,65.0114,2.38372,1.55553,1.20823,0.00202,0.02778,0.00131,0.00026,5.72455,2.70182,3.2709,0.001901,0.001901,0.001901
7,75.888,2.37173,1.49517,1.18154,0.76407,0.88889,0.8952,0.32425,2.15391,1.32354,1.04467,0.0018812,0.0018812,0.0018812
8,86.3304,2.33872,1.43159,1.19137,0.21348,0.38889,0.1494,0.04077,2.9773,2.94573,1.19924,0.0018614,0.0018614,0.0018614
9,96.2414,2.2912,1.39248,1.18991,0.46418,0.02778,0.02678,0.013,4.66738,3.82485,1.84087,0.0018416,0.0018416,0.0018416
10,106.637,2.30767,1.44896,1.15563,0.33512,0.32221,0.39201,0.11576,2.67052,2.25475,1.10396,0.0018218,0.0018218,0.0018218
11,116.497,2.26734,1.46411,1.16986,0.77458,0.19444,0.2336,0.07859,2.50279,2.64057,1.15483,0.001802,0.001802,0.001802
12,126.819,2.29053,1.41257,1.17671,0.81326,0.91667,0.93037,0.386,2.07541,1.53134,1.02817,0.0017822,0.0017822,0.0017822
13,137.471,2.27568,1.46105,1.16928,0.70141,0.80556,0.82772,0.31226,2.22136,1.13382,1.01368,0.0017624,0.0017624,0.0017624
14,147.337,2.22995,1.39554,1.12773,0.67091,0.91667,0.85003,0.29866,2.04783,1.11276,0.99855,0.0017426,0.0017426,0.0017426
15,157.215,2.1812,1.38529,1.15272,0.62928,0.86111,0.74134,0.2989,2.18093,1.08538,1.01898,0.0017228,0.0017228,0.0017228
16,167.07,2.22031,1.39587,1.13948,0.79799,0.88889,0.82546,0.3054,2.28612,1.22229,1.03553,0.001703,0.001703,0.001703
17,176.94,2.2215,1.39474,1.17181,0.76639,0.83333,0.75266,0.22192,2.16675,1.29413,1.00429,0.0016832,0.0016832,0.0016832
18,186.8,2.1754,1.34519,1.13829,0.82842,0.97222,0.88188,0.38667,1.99966,1.03343,0.9901,0.0016634,0.0016634,0.0016634
19,197.271,2.19685,1.32945,1.13419,0.67245,0.77778,0.71384,0.2603,1.9611,1.17364,0.95201,0.0016436,0.0016436,0.0016436
20,207.106,2.23567,1.35543,1.16828,0.84473,0.90689,0.90725,0.37457,1.92056,1.01391,0.97322,0.0016238,0.0016238,0.0016238
21,216.976,2.17509,1.30323,1.11393,0.90442,0.86111,0.91013,0.32929,1.99364,1.0482,0.98292,0.001604,0.001604,0.001604
22,226.823,2.11088,1.29899,1.13057,0.75676,0.86111,0.77843,0.30455,2.11877,1.0549,1.00324,0.0015842,0.0015842,0.0015842
23,236.771,2.21386,1.3819,1.15162,0.80008,0.88889,0.88173,0.38062,1.98238,1.09433,0.98821,0.0015644,0.0015644,0.0015644
24,247.218,2.19819,1.34421,1.13985,0.84225,0.91667,0.91456,0.33078,2.07716,1.03964,0.98403,0.0015446,0.0015446,0.0015446
25,257.064,2.13369,1.27816,1.12198,0.86448,0.94444,0.90268,0.34666,1.8803,0.97873,0.96516,0.0015248,0.0015248,0.0015248
26,266.907,2.19918,1.30234,1.12582,0.87527,0.94444,0.93214,0.33601,1.93723,1.01124,0.96555,0.001505,0.001505,0.001505
27,276.751,2.13176,1.2863,1.10954,0.72857,0.74571,0.68809,0.227,2.20595,1.17584,1.00214,0.0014852,0.0014852,0.0014852
28,286.617,2.14539,1.27048,1.11492,0.83169,0.88889,0.85071,0.31304,1.93602,1.03054,0.96946,0.0014654,0.0014654,0.0014654
29,296.891,2.17931,1.2866,1.11659,0.82397,0.91667,0.89155,0.3361,2.00784,1.02528,0.98799,0.0014456,0.0014456,0.0014456
30,306.948,2.15793,1.29365,1.12057,0.74173,0.72222,0.73068,0.23585,2.22811,1.1652,1.00379,0.0014258,0.0014258,0.0014258
31,316.822,2.09838,1.28883,1.13833,0.87615,0.94444,0.95224,0.41067,1.96641,1.02896,0.98132,0.001406,0.001406,0.001406
32,326.752,2.11156,1.26257,1.13685,0.83254,0.82869,0.81435,0.26989,2.13549,1.06356,0.98484,0.0013862,0.0013862,0.0013862
