epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47608,2.77882,3.02047,1.29946,0.005,0.08333,0.00291,0.00038,2.43738,3.44567,1.18768,0.000652482,0.000652482,0.000652482
2,10.0872,2.52543,1.8889,1.1772,0.21921,0.97222,0.5345,0.15906,2.37667,2.41402,1.05282,0.00130609,0.00130609,0.00130609
3,14.6052,2.43597,1.9525,1.17487,0.41608,0.63889,0.43817,0.12029,2.66677,2.61113,1.09646,0.0019465,0.0019465,0.0019465
4,19.0455,2.35256,1.81674,1.15572,0.40985,0.83333,0.45382,0.14632,2.43261,2.23281,1.06505,0.0019406,0.0019406,0.0019406
5,23.4776,2.31043,1.69925,1.16022,0.68424,0.84285,0.82107,0.24576,2.32553,1.35549,1.06039,0.0019208,0.0019208,0.0019208
6,27.9437,2.25787,1.62214,1.13377,0.33201,0.47222,0.31038,0.09362,2.63885,1.91716,1.07215,0.001901,0.001901,0.001901
7,32.3851,2.26773,1.65973,1.12991,0.82321,0.83333,0.86741,0.28432,2.09043,1.33094,0.98941,0.0018812,0.0018812,0.0018812
8,36.8489,2.27522,1.56155,1.1293,0.68071,0.88889,0.79808,0.3133,1.99608,1.20455,0.98906,0.0018614,0.0018614,0.0018614
9,41.3217,2.25888,1.56267,1.13288,0.71964,0.85571,0.84633,0.32919,1.99514,1.13337,0.97234,0.0018416,0.0018416,0.0018416
10,45.7066,2.30371,1.56127,1.12257,0.71485,0.80556,0.72613,0.22823,2.18723,1.32666,1.00179,0.0018218,0.0018218,0.0018218
11,50.154,2.22191,1.5568,1.1138,0.78142,0.83333,0.81335,0.30305,2.09244,1.22023,1.01726,0.001802,0.001802,0.001802
12,54.6706,2.16549,1.47166,1.11519,0.84638,0.86111,0.80179,0.35972,2.00193,1.16002,0.98787,0.0017822,0.0017822,0.0017822
13,59.1528,2.18836,1.49451,1.11389,0.77539,0.91667,0.85928,0.34068,2.02844,1.18398,0.98053,0.0017624,0.0017624,0.0017624
14,63.5657,2.1982,1.46772,1.09664,0.70806,0.94444,0.85049,0.29743,2.06414,1.19228,0.96184,0.0017426,0.0017426,0.0017426
15,68.0117,2.1695,1.45448,1.12595,0.87489,0.91667,0.92139,0.35768,1.97588,1.09429,0.97796,0.0017228,0.0017228,0.0017228
16,72.4328,2.17411,1.42669,1.09644,0.79414,0.80556,0.78618,0.28796,2.06641,1.1699,0.99053,0.001703,0.001703,0.001703
17,76.9005,2.19432,1.43619,1.13087,0.85735,0.83481,0.90247,0.4175,1.94876,1.04382,0.97776,0.0016832,0.0016832,0.0016832
18,81.3667,2.16621,1.44308,1.10469,0.84047,0.86111,0.89758,0.28027,2.17683,1.18046,0.9998,0.0016634,0.0016634,0.0016634
19,85.8462,2.18815,1.37543,1.11255,0.91743,0.91667,0.98339,0.41449,1.95465,1.00689,0.96263,0.0016436,0.0016436,0.0016436
20,90.3445,2.21338,1.40442,1.13143,0.70476,0.86111,0.81154,0.27586,1.99846,1.20111,0.95538,0.0016238,0.0016238,0.0016238
21,94.8358,2.17324,1.35521,1.08292,0.86654,0.97222,0.91553,0.35087,1.96221,1.03507,0.96833,0.001604,0.001604,0.001604
22,99.3142,2.0937,1.3353,1.09626,0.79844,0.83333,0.84565,0.37682,1.86685,1.01566,0.96854,0.0015842,0.0015842,0.0015842
